league,yearID,mean_age,std_age,n
MLB,1899,27.842783373383096,4.047405316200338,19559
MLB,1900,28.388920663452897,4.041017913039732,12239
MLB,1901,27.932513766167244,4.116792320469132,23427
MLB,1902,28.145796064400717,3.9811932235715823,23478
MLB,1903,28.23048622434048,3.9323278136172535,23919
MLB,1904,28.376391729152466,4.133086876333205,26406
MLB,1905,28.586259428528965,4.080252419296463,26913
MLB,1906,28.546886527962226,4.326932852830324,27108
MLB,1907,28.64661898569571,4.292940822119497,27684
MLB,1908,28.52495929608203,4.2941873012007585,28867
MLB,1909,27.595029691415235,4.319588636953019,29133
MLB,1910,27.32318548387097,4.240444674263328,29760
MLB,1911,27.066550190597205,4.089312539312354,31480
MLB,1912,26.72315880047165,4.032904594115501,31379
MLB,1913,26.75077491654745,4.182787055781189,33552
MLB,1914,27.03886833949815,4.050383576505464,50015
MLB,1915,27.139404668780106,4.100903078592214,48578
MLB,1916,27.04290961211144,4.021202053937996,33489
MLB,1917,27.10831579910347,3.701512424248352,32793
MLB,1918,27.896865520728007,3.976766582198066,25714
MLB,1919,27.9133613474087,3.6623593067693716,29271
MLB,1920,27.937158877389724,3.6695361225782293,33529
MLB,1921,27.98138013087448,3.675450107243535,33620
MLB,1922,28.257289424806157,3.9355102168803087,33919
MLB,1923,28.21272185894442,3.965532311668143,34256
MLB,1924,28.387408991101353,4.105403111246682,34612
MLB,1925,28.71438521141066,4.151694882246622,34459
MLB,1926,28.694045644340218,4.173004999167643,34966
MLB,1927,28.95245122635105,4.470394593177233,33881
MLB,1928,28.566976474005227,4.514844821878035,34430
MLB,1929,28.633010777610384,4.469732966492346,34516
MLB,1930,28.422293490508796,4.316987409482115,34611
MLB,1931,28.58256458932756,4.303327293635704,33713
MLB,1932,28.738078228255045,4.4912261589525375,33594
MLB,1933,28.923712500370183,4.421078140866763,33767
MLB,1934,28.748489873267797,4.412236791088807,33772
MLB,1935,28.300553110503152,4.162660453559476,33628
MLB,1936,28.629185180992273,4.14838677650942,35333
MLB,1937,28.637217991090672,4.170740231964507,34795
MLB,1938,28.542000471253534,4.155637683446312,33952
MLB,1939,28.384878549435513,4.338444947331708,35076
MLB,1940,28.34111104741157,4.556343926920743,34886
MLB,1941,28.294487828599216,4.590895888703669,34959
MLB,1942,28.260152539933802,4.552760627737154,34745
MLB,1943,29.066641750280308,4.507283026020662,34783
MLB,1944,29.598813106933953,4.856433471317058,35218
MLB,1945,30.013382306881923,5.054053400607825,35121
MLB,1946,29.41588000839102,4.314639557712531,38136
MLB,1947,29.163050694426005,4.417676246413036,37657
MLB,1948,28.541425117633295,4.48739432225911,38467
MLB,1949,28.585577104123516,4.3400895112215085,37177
MLB,1950,28.469582282029716,4.158745473454733,35670
MLB,1951,28.847274734372842,4.168179704282505,36235
MLB,1952,28.821314685314686,4.309224317166435,35750
MLB,1953,28.815550018956834,4.350736036143358,36926
MLB,1954,28.425744180387703,4.188552217127128,36987
MLB,1955,28.387324500171218,4.251041422302274,37963
MLB,1956,28.44827226496284,4.369060032345861,38345
MLB,1957,28.427982787847178,4.2977927981325115,38345
MLB,1958,28.50497899486541,4.347728393342609,38562
MLB,1959,28.62287155223958,4.321761182182247,38467
MLB,1960,28.300404464468564,4.288728785284731,39064
MLB,1961,28.157129530613638,4.3640422823357845,43951
MLB,1962,28.02053970944787,4.251868524527553,50731
MLB,1963,27.838908736602793,4.397292367665332,49264
MLB,1964,27.65826781034072,4.220148653750525,50364
MLB,1965,27.59700680272109,4.270577211466677,51450
MLB,1966,27.634451045017663,4.133867092279135,50669
MLB,1967,27.61085848146617,3.9778304774117985,50799
MLB,1968,27.73262778744587,3.8749270330972814,49418
MLB,1969,27.551317966612604,3.9279763853830447,61041
MLB,1970,27.667473480725807,3.9933569127063313,61559
MLB,1971,27.656955633243822,4.107307498036221,59211
MLB,1972,27.53362229319482,4.11133803099687,56986
MLB,1973,27.669216315535675,4.109778929271729,60139
MLB,1974,27.473686796717605,4.053567772819768,61053
MLB,1975,27.480443791378427,4.0467212417847875,60569
MLB,1976,27.672820155578776,3.868679246562761,60291
MLB,1977,27.578832694115714,3.832982530882936,67009
MLB,1978,27.79624554672513,3.9009464313259357,65682
MLB,1979,28.1795893118484,4.027881801677049,66279
MLB,1980,28.333249638141375,4.012619093595945,67706
MLB,1981,28.591775022679165,4.113708823381651,46298
MLB,1982,28.75558281483233,4.275615690725515,67663
MLB,1983,28.725320876497545,4.377586083183221,67861
MLB,1984,28.688316405852696,4.366755518351936,68823
MLB,1985,28.81393334969042,4.384182349026635,69287
MLB,1986,28.6540558424558,4.516350205353728,69517
MLB,1987,28.415393168728972,4.311290739336538,70148
MLB,1988,28.513163681139876,4.075989404743486,68218
MLB,1989,28.651974617180674,3.98415516291989,69811
MLB,1990,28.60113082908806,3.9000920611280643,71452
MLB,1991,28.57803484053124,4.036822805045444,72961
MLB,1992,28.733211663694057,3.9999897207387898,72327
MLB,1993,28.63834784162561,3.9513173417104714,78346
MLB,1994,28.871896904205606,3.891187014810671,54784
MLB,1995,28.67650439720241,3.9013380890734317,72205
MLB,1996,28.779121476394,3.9988409503639746,80954
MLB,1997,28.89444335023881,4.074113746937933,81236
MLB,1998,29.013765247971772,4.230717869701126,86159
MLB,1999,28.976447632711622,4.244885075383287,87125
MLB,2000,29.212699176374905,4.136086993369822,87297
MLB,2001,29.315507715537457,4.297859829556492,87421
MLB,2002,29.300054955119986,4.267333648645387,87344
MLB,2003,29.297838416509123,4.354307125626826,87806
MLB,2004,29.498120406850074,4.367838237812755,88583
MLB,2005,29.4310081234027,4.546563490518804,87648
MLB,2006,29.15734532325701,4.597336514577096,89186
MLB,2007,29.10502898150704,4.540549793743753,90575
MLB,2008,28.989016858621266,4.429166618910125,89865
MLB,2009,28.91578582374193,4.250404315096917,89403
MLB,2010,28.896357913669064,4.2436903278298415,88960
MLB,2011,28.739482400494023,4.239527648170355,89065
MLB,2012,28.63584799265836,4.0706497702274325,90443
MLB,2013,28.613340443496423,4.109430957798153,90012
MLB,2014,28.615642866640073,3.9683073283645944,90252
MLB,2015,28.48129667677657,3.93580203810083,91989
MLB,2016,28.520795561876433,3.885840856396807,92111
MLB,2017,28.482725558847292,3.862236528033589,92825
MLB,2018,28.300226858330152,3.7379642968610542,94332
MLB,2019,28.246343446717287,3.6717318474351126,94693
MLB,2020,28.284514521022974,3.7073394433571902,36912
MLB,2021,28.670293292850065,3.626186251702535,94854
MLB,2022,28.632095357322463,3.654761183325373,93459
MLB,2023,28.565812824734333,3.7755244449633274,93538
MLB,2024,28.637986684420774,3.770058421362772,93875
