year,lgID,G,R,HR,BB,SO,R_per_G,HR_per_G,BB_per_G,SO_per_G,season,run_env
1953,NL,1244,5914,1197,4220,5307.0,4.754019292604502,0.9622186495176849,3.392282958199357,4.266077170418006,1953,4.754019292604502
1954,AL,1242,5203,823,4619,5129.0,4.189210950080516,0.6626409017713365,3.719001610305958,4.12962962962963,1954,4.189210950080516
1954,NL,1232,5624,1114,4414,5086.0,4.564935064935065,0.9042207792207793,3.582792207792208,4.128246753246753,1954,4.564935064935065
1955,AL,1236,5491,961,4808,5405.0,4.442556634304207,0.7775080906148867,3.8899676375404533,4.372977346278317,1955,4.442556634304207
1955,NL,1232,5578,1263,4240,5419.0,4.527597402597403,1.0251623376623376,3.4415584415584415,4.398538961038961,1955,4.527597402597403
1956,AL,1236,5756,1075,5019,5813.0,4.656957928802589,0.8697411003236246,4.060679611650485,4.703074433656958,1956,4.656957928802589
1956,NL,1242,5275,1219,3982,5694.0,4.247181964573269,0.9814814814814815,3.206119162640902,4.584541062801932,1956,4.247181964573269
1957,AL,1232,5210,1024,4309,5814.0,4.228896103896104,0.8311688311688312,3.497564935064935,4.7191558441558445,1957,4.228896103896104
1957,NL,1238,5426,1178,3866,6150.0,4.382875605815832,0.9515347334410339,3.122778675282714,4.967689822294022,1957,4.382875605815832
1958,AL,1238,5159,1057,4062,6037.0,4.167205169628433,0.8537964458804523,3.2810985460420032,4.876413570274637,1958,4.167205169628433
1958,NL,1232,5419,1183,4065,6192.0,4.398538961038961,0.9602272727272727,3.299512987012987,5.025974025974026,1958,4.398538961038961
1959,AL,1236,5391,1091,4210,6081.0,4.361650485436893,0.8826860841423948,3.4061488673139158,4.919902912621359,1959,4.361650485436893
1959,NL,1240,5462,1159,3974,6525.0,4.40483870967742,0.9346774193548387,3.2048387096774196,5.262096774193548,1959,4.40483870967742
1960,AL,1234,5414,1086,4447,5993.0,4.387358184764992,0.880064829821718,3.6037277147487843,4.856564019448946,1960,4.387358184764992
1960,NL,1238,5250,1042,3937,6824.0,4.240710823909532,0.8416801292407108,3.1801292407108237,5.512116316639742,1960,4.240710823909532
1961,AL,1622,7342,1534,5902,8330.0,4.526510480887793,0.9457459926017263,3.6387176325524044,5.135635018495685,1961,4.526510480887793
1961,NL,1238,5600,1196,3995,6622.0,4.523424878836834,0.9660743134087237,3.226978998384491,5.348949919224555,1961,4.523424878836834
1962,AL,1618,7183,1552,5671,8535.0,4.439431396786156,0.9592088998763906,3.504944375772559,5.275030902348578,1962,4.439431396786156
1962,NL,1624,7278,1449,5265,9032.0,4.481527093596059,0.8922413793103449,3.2419950738916254,5.561576354679803,1962,4.481527093596059
1963,AL,1616,6599,1489,5031,9228.0,4.083539603960396,0.9214108910891089,3.1132425742574257,5.71039603960396,1963,4.083539603960396
1963,NL,1622,6181,1215,4560,9545.0,3.810727496917386,0.749075215782984,2.81134401972873,5.884710234278669,1963,3.810727496917386
1964,AL,1628,6607,1551,5227,9956.0,4.058353808353808,0.9527027027027027,3.210687960687961,6.115479115479116,1964,4.058353808353808
1964,NL,1624,6517,1211,4394,9256.0,4.012931034482759,0.7456896551724138,2.705665024630542,5.699507389162561,1964,4.012931034482759
1965,AL,1620,6388,1370,5306,9634.0,3.94320987654321,0.845679012345679,3.275308641975309,5.946913580246914,1965,3.94320987654321
1965,NL,1626,6558,1318,4730,9649.0,4.033210332103321,0.8105781057810578,2.908979089790898,5.934194341943419,1965,4.033210332103321
1966,AL,1612,6276,1365,4927,9493.0,3.893300248138958,0.8467741935483871,3.056451612903226,5.888957816377172,1966,3.893300248138958
1966,NL,1618,6624,1378,4404,9312.0,4.093943139678616,0.8516687268232386,2.7218788627935724,5.7552533992583434,1966,4.093943139678616
1967,AL,1620,5992,1197,4993,9945.0,3.6987654320987655,0.7388888888888889,3.082098765432099,6.138888888888889,1967,3.6987654320987655
1967,NL,1620,6218,1102,4672,9468.0,3.8382716049382717,0.6802469135802469,2.8839506172839506,5.844444444444444,1967,3.8382716049382717
1968,AL,1624,5532,1104,4881,9641.0,3.4064039408866993,0.6798029556650246,3.0055418719211824,5.936576354679803,1968,3.4064039408866993
1968,NL,1626,5577,891,4275,9502.0,3.4298892988929888,0.5479704797047971,2.629151291512915,5.8437884378843785,1968,3.4298892988929888
1969,AL,1946,7960,1649,7032,10845.0,4.090441932168551,0.8473792394655704,3.6135662898252825,5.572970195272354,1969,4.090441932168551
1969,NL,1946,7890,1470,6397,11628.0,4.054470709146968,0.7553956834532374,3.287255909558068,5.9753340184994865,1969,4.054470709146968
1970,AL,1946,8109,1746,6808,10957.0,4.167009249743063,0.8972250770811921,3.498458376156218,5.630524152106886,1970,4.167009249743063
1970,NL,1942,8771,1683,6919,11417.0,4.516477857878476,0.8666323377960865,3.562821833161689,5.878990731204944,1970,4.516477857878476
1971,AL,1932,7472,1484,6477,10414.0,3.867494824016563,0.7681159420289855,3.3524844720496896,5.390269151138717,1971,3.867494824016563
1971,NL,1944,7601,1379,6059,10542.0,3.9099794238683128,0.7093621399176955,3.1167695473251027,5.422839506172839,1971,3.9099794238683128
1972,AL,1858,6441,1175,5742,10174.0,3.4666307857911733,0.6324004305705059,3.0904198062432724,5.475780409041981,1972,3.4666307857911733
1972,NL,1860,7265,1359,5985,10544.0,3.9059139784946235,0.7306451612903225,3.217741935483871,5.668817204301075,1972,3.9059139784946235
1973,AL,1944,8314,1552,6647,9851.0,4.276748971193416,0.7983539094650206,3.419238683127572,5.06738683127572,1973,4.276748971193416
1973,NL,1942,8062,1550,6453,10507.0,4.151390319258496,0.7981462409886715,3.322863027806385,5.410401647785788,1973,4.151390319258496
1974,AL,1946,7976,1369,6135,9524.0,4.098663926002056,0.7034943473792394,3.1526207605344294,4.894141829393628,1974,4.098663926002056
1974,NL,1944,8070,1280,6828,9971.0,4.151234567901234,0.6584362139917695,3.5123456790123457,5.129115226337449,1974,4.151234567901234
1975,AL,1926,8281,1465,6672,9487.0,4.299584631360332,0.7606438213914849,3.4641744548286604,4.925752855659398,1975,4.299584631360332
1975,NL,1942,8014,1233,6730,9793.0,4.126673532440782,0.6349124613800206,3.465499485066941,5.042739443872296,1975,4.126673532440782
1976,AL,1934,7753,1122,6128,9143.0,4.008790072388831,0.5801447776628749,3.168562564632885,4.727507755946226,1976,4.008790072388831
1976,NL,1944,7739,1113,6263,9602.0,3.9809670781893005,0.5725308641975309,3.221707818930041,4.939300411522634,1976,3.9809670781893005
1977,AL,2262,10247,2013,7270,11234.0,4.530061892130858,0.889920424403183,3.2139699381078692,4.966401414677277,1977,4.530061892130858
1977,NL,1944,8556,1631,6487,10488.0,4.401234567901234,0.8389917695473251,3.336934156378601,5.395061728395062,1977,4.401234567901234
1978,AL,2262,9509,1680,7287,10153.0,4.203801945181255,0.7427055702917772,3.2214854111405837,4.488505747126437,1978,4.203801945181255
1978,NL,1942,7742,1276,6279,9905.0,3.9866117404737382,0.6570545829042225,3.233264675592173,5.100411946446962,1978,3.9866117404737382
1979,AL,2254,10527,2006,7413,10115.0,4.67036379769299,0.8899733806566105,3.2888198757763973,4.487577639751553,1979,4.67036379769299
1979,NL,1942,8186,1427,6188,9920.0,4.21524201853759,0.7348094747682801,3.1864057672502573,5.108135942327498,1979,4.21524201853759
1980,AL,2264,10201,1844,7221,10363.0,4.505742049469965,0.8144876325088339,3.189487632508834,4.5772968197879855,1980,4.505742049469965
1980,NL,1946,7852,1243,5969,9849.0,4.034943473792395,0.6387461459403906,3.067317574511819,5.061151079136691,1980,4.034943473792395
1981,AL,1500,6112,1062,4761,6905.0,4.074666666666666,0.708,3.174,4.6033333333333335,1981,4.074666666666666
1981,NL,1288,5035,719,4107,6332.0,3.9091614906832297,0.5582298136645962,3.188664596273292,4.916149068322981,1981,3.9091614906832297
1982,AL,2270,10163,2080,7338,10921.0,4.477092511013216,0.9162995594713657,3.232599118942731,4.811013215859031,1982,4.477092511013216
1982,NL,1944,7947,1299,5964,10300.0,4.087962962962963,0.6682098765432098,3.067901234567901,5.29835390946502,1982,4.087962962962963
1983,AL,2270,10177,1903,7094,10967.0,4.483259911894273,0.8383259911894273,3.12511013215859,4.831277533039648,1983,4.483259911894273
1983,NL,1948,7993,1398,6424,10749.0,4.103182751540041,0.7176591375770021,3.297741273100616,5.517967145790554,1983,4.103182751540041
1984,AL,2268,10027,1980,7171,11571.0,4.421075837742505,0.873015873015873,3.1618165784832453,5.101851851851852,1984,4.421075837742505
1984,NL,1942,7894,1278,6149,10929.0,4.064881565396498,0.6580844490216272,3.166323377960865,5.627703398558188,1984,4.064881565396498
1985,AL,2264,10317,2178,7465,11777.0,4.556978798586573,0.9620141342756183,3.29726148409894,5.201855123674911,1985,4.556978798586573
1985,NL,1942,7899,1424,6373,10674.0,4.06745623069001,0.733264675592173,3.281668383110196,5.496395468589084,1985,4.06745623069001
1986,AL,2268,10449,2290,7667,13058.0,4.607142857142857,1.009700176366843,3.380511463844797,5.757495590828924,1986,4.607142857142857
1986,NL,1938,8096,1523,6560,11648.0,4.17750257997936,0.7858617131062952,3.384932920536636,6.01031991744066,1986,4.17750257997936
1987,AL,2268,11112,2634,7812,13442.0,4.8994708994708995,1.1613756613756614,3.4444444444444446,5.926807760141093,1987,4.8994708994708995
1987,NL,1942,8771,1824,6577,11657.0,4.516477857878476,0.9392378990731205,3.386714727085479,6.002574665293512,1987,4.516477857878476
1988,AL,2262,9858,1901,7191,12323.0,4.358090185676392,0.8404067197170646,3.179045092838196,5.447833775419983,1988,4.358090185676392
1988,NL,1938,7522,1279,5793,11032.0,3.8813209494324044,0.6599587203302374,2.9891640866873064,5.692466460268318,1988,3.8813209494324044
1989,AL,2266,9732,1718,7277,12296.0,4.294792586054722,0.7581641659311562,3.211385701676964,5.426301853486319,1989,4.294792586054722
1989,NL,1946,7673,1365,6251,11354.0,3.942959917780062,0.7014388489208633,3.212230215827338,5.83453237410072,1989,3.942959917780062
1990,AL,2266,9746,1796,7631,12689.0,4.300970873786408,0.7925860547219771,3.3676081200353045,5.59973521624007,1990,4.300970873786408
1990,NL,1944,8173,1521,6221,11164.0,4.204218106995885,0.7824074074074074,3.200102880658436,5.742798353909465,1990,4.204218106995885
1991,AL,2268,10172,1953,7730,12944.0,4.485008818342152,0.8611111111111112,3.4082892416225747,5.707231040564374,1991,4.485008818342152
1991,NL,1940,7955,1430,6254,11446.0,4.100515463917525,0.7371134020618557,3.2237113402061857,5.9,1991,4.100515463917525
1992,AL,2268,9802,1776,7704,12196.0,4.321869488536155,0.783068783068783,3.3968253968253967,5.37742504409171,1992,4.321869488536155
1992,NL,1944,7539,1262,5978,11342.0,3.878086419753086,0.6491769547325102,3.075102880658436,5.834362139917696,1992,3.878086419753086
1993,AL,2268,10674,2074,8006,12952.0,4.7063492063492065,0.9144620811287478,3.5299823633156966,5.710758377425044,1993,4.7063492063492065
1993,NL,2270,10190,1956,7104,13358.0,4.488986784140969,0.8616740088105727,3.1295154185022027,5.884581497797357,1993,4.488986784140969
1994,AL,1594,8330,1774,5938,9619.0,5.225846925972396,1.1129234629861982,3.725219573400251,6.034504391468005,1994,5.225846925972396
1994,NL,1606,7422,1532,5193,10147.0,4.621419676214197,0.9539227895392279,3.2334993773349936,6.318181818181818,1994,4.621419676214197
1995,AL,2020,10225,2164,7572,12116.0,5.061881188118812,1.0712871287128714,3.7485148514851487,5.998019801980198,1995,5.061881188118812
1995,NL,2014,9329,1917,6668,13309.0,4.632075471698113,0.951837140019861,3.310824230387289,6.60824230387289,1995,4.632075471698113
1996,AL,2266,12208,2742,8592,14056.0,5.387466902030009,1.2100617828773168,3.791703442188879,6.203000882612533,1996,5.387466902030009
1996,NL,2268,10623,2220,7501,15252.0,4.6838624338624335,0.9788359788359788,3.307319223985891,6.724867724867725,1996,4.6838624338624335
1997,AL,2264,11164,2477,7962,14617.0,4.931095406360424,1.0940812720848057,3.51678445229682,6.456272084805653,1997,4.931095406360424
1997,NL,2268,10440,2163,7704,15320.0,4.603174603174603,0.9537037037037037,3.3968253968253967,6.754850088183422,1997,4.603174603174603
1998,AL,2268,11365,2499,7737,14438.0,5.011022927689594,1.1018518518518519,3.4113756613756614,6.365961199294532,1998,5.011022927689594
1998,NL,2596,11932,2565,8710,17455.0,4.596302003081664,0.9880585516178737,3.3551617873651773,6.723805855161787,1998,4.596302003081664
1999,AL,2265,11725,2635,8289,13966.0,5.176600441501104,1.163355408388521,3.6596026490066227,6.166004415011037,1999,5.176600441501104
1999,NL,2591,12966,2893,9602,17153.0,5.004245465071401,1.116557313778464,3.7059050559629485,6.620223851794674,1999,5.004245465071401
2000,AL,2265,11995,2688,8502,14012.0,5.295805739514349,1.1867549668874173,3.75364238410596,6.186313465783664,2000,5.295805739514349
2000,NL,2593,12976,3005,9735,17344.0,5.00424219051292,1.158889317392981,3.7543386039336677,6.688777477824913,2000,5.00424219051292
2001,AL,2266,11013,2506,7239,14496.0,4.860105913503972,1.1059135039717565,3.1946160635481022,6.397175639894087,2001,4.860105913503972
2001,NL,2592,12186,2952,8567,17908.0,4.701388888888889,1.1388888888888888,3.3051697530864197,6.908950617283951,2001,4.701388888888889
2002,AL,2264,10892,2464,7325,14233.0,4.810954063604241,1.088339222614841,3.235424028268551,6.286660777385159,2002,4.810954063604241
2002,NL,2588,11516,2595,8921,17161.0,4.449768160741885,1.0027047913446676,3.447063369397218,6.6309891808346215,2002,4.449768160741885
2003,AL,2270,11033,2499,7223,13805.0,4.860352422907489,1.1008810572687224,3.1819383259911893,6.081497797356828,2003,4.860352422907489
2003,NL,2590,11945,2708,8666,16996.0,4.611969111969112,1.0455598455598456,3.345945945945946,6.562162162162162,2003,4.611969111969112
2004,AL,2266,11358,2605,7486,14529.0,5.012356575463372,1.149602824360106,3.3036187113857016,6.411738746690203,2004,5.012356575463372
2004,NL,2590,12018,2846,8736,17299.0,4.64015444015444,1.098841698841699,3.372972972972973,6.679150579150579,2004,4.64015444015444
2005,AL,2268,10790,2437,6811,13764.0,4.757495590828924,1.0745149911816578,3.003086419753086,6.068783068783069,2005,4.757495590828924
2005,NL,2594,11535,2580,8396,16880.0,4.4468003084040095,0.9946029298380878,3.2367000771010024,6.507324595219738,2005,4.4468003084040095
2006,AL,2268,11262,2546,7247,14229.0,4.965608465608466,1.1225749559082892,3.195326278659612,6.273809523809524,2006,4.965608465608466
2006,NL,2590,12337,2840,8600,17426.0,4.763320463320463,1.0965250965250966,3.3204633204633205,6.7281853281853286,2006,4.763320463320463
2007,AL,2268,11114,2252,7503,14740.0,4.900352733686067,0.9929453262786596,3.308201058201058,6.499118165784832,2007,4.900352733686067
2007,NL,2594,12208,2705,8576,17449.0,4.706245181187356,1.0427910562837317,3.3060909791827293,6.726676946800309,2007,4.706245181187356
2008,AL,2268,10844,2270,7521,14834.0,4.781305114638448,1.0008818342151675,3.316137566137566,6.540564373897707,2008,4.781305114638448
2008,NL,2588,11741,2608,8816,18050.0,4.536707882534776,1.007727975270479,3.4064914992272026,6.974497681607419,2008,4.536707882534776
2009,AL,2270,10938,2560,7694,15309.0,4.818502202643172,1.1277533039647578,3.3894273127753305,6.744052863436123,2009,4.818502202643172
2009,NL,2590,11481,2482,8926,18282.0,4.4328185328185326,0.9583011583011583,3.446332046332046,7.058687258687259,2009,4.4328185328185326
2010,AL,2268,10097,2209,7367,15214.0,4.451940035273369,0.9739858906525574,3.248236331569665,6.708112874779541,2010,4.451940035273369
2010,NL,2592,11211,2404,8411,19092.0,4.325231481481482,0.9274691358024691,3.2449845679012346,7.3657407407407405,2010,4.325231481481482
2011,AL,2268,10117,2271,6986,15588.0,4.460758377425044,1.0013227513227514,3.080246913580247,6.873015873015873,2011,4.460758377425044
2011,NL,2590,10691,2281,8032,18900.0,4.127799227799228,0.8806949806949806,3.1011583011583013,7.297297297297297,2011,4.127799227799228
2012,AL,2268,10088,2500,6896,16618.0,4.447971781305115,1.1022927689594357,3.0405643738977073,7.327160493827161,2012,4.447971781305115
2012,NL,2592,10929,2434,7813,19808.0,4.216435185185185,0.9390432098765432,3.0142746913580245,7.6419753086419755,2012,4.216435185185185
2013,AL,2432,10525,2504,7534,18336.0,4.3277138157894735,1.0296052631578947,3.0978618421052633,7.5394736842105265,2013,4.3277138157894735
2013,NL,2430,9730,2157,7106,18374.0,4.004115226337449,0.8876543209876543,2.9242798353909465,7.561316872427984,2013,4.004115226337449
2014,AL,2430,10161,2161,7091,18245.0,4.181481481481481,0.8893004115226337,2.9181069958847736,7.508230452674897,2014,4.181481481481481
2014,NL,2430,9600,2025,6929,19196.0,3.950617283950617,0.8333333333333334,2.851440329218107,7.8995884773662555,2014,3.950617283950617
2015,AL,2428,10651,2634,7047,18281.0,4.386738056013179,1.084843492586491,2.9023887973640856,7.529242174629324,2015,4.386738056013179
2015,NL,2430,9996,2275,7026,19165.0,4.11358024691358,0.9362139917695473,2.891358024691358,7.886831275720165,2015,4.11358024691358
2016,AL,2428,10970,2953,7365,19096.0,4.518121911037891,1.2162273476112027,3.0333607907743,7.864909390444811,2016,4.518121911037891
2016,NL,2428,10774,2657,7723,19886.0,4.437397034596375,1.0943163097199342,3.180807248764415,8.19028006589786,2016,4.437397034596375
2017,AL,2430,11443,3170,7785,19794.0,4.709053497942387,1.3045267489711934,3.2037037037037037,8.14567901234568,2017,4.709053497942387
2017,NL,2430,11139,2935,8044,20310.0,4.583950617283951,1.2078189300411524,3.3102880658436216,8.358024691358025,2017,4.583950617283951
2018,AL,2430,10999,2900,7637,20206.0,4.526337448559671,1.1934156378600822,3.142798353909465,8.315226337448559,2018,4.526337448559671
2018,NL,2432,10631,2685,8049,21001.0,4.371299342105263,1.104029605263158,3.309621710526316,8.635279605263158,2018,4.371299342105263
2019,AL,2428,11859,3478,7916,21415.0,4.884266886326194,1.4324546952224053,3.260296540362438,8.82001647446458,2019,4.884266886326194
2019,NL,2430,11608,3298,7979,21408.0,4.776954732510288,1.357201646090535,3.2835390946502057,8.809876543209876,2019,4.776954732510288
2020,AL,898,4117,1143,3014,7912.0,4.5846325167037865,1.2728285077951003,3.356347438752784,8.810690423162583,2020,4.5846325167037865
2020,NL,898,4227,1161,3078,7674.0,4.7071269487750556,1.2928730512249442,3.4276169265033407,8.5456570155902,2020,4.7071269487750556
2021,AL,2430,11178,3059,7686,20873.0,4.6,1.2588477366255144,3.162962962962963,8.589711934156378,2021,4.6
2021,NL,2428,10832,2885,8108,21272.0,4.461285008237232,1.1882207578253707,3.3393739703459637,8.761120263591433,2021,4.461285008237232
2022,AL,2430,10259,2557,7232,20185.0,4.221810699588477,1.0522633744855967,2.9761316872427983,8.306584362139917,2022,4.221810699588477
2022,NL,2430,10558,2658,7621,20627.0,4.344855967078189,1.0938271604938272,3.1362139917695475,8.488477366255143,2022,4.344855967078189
2023,AL,2430,11066,2925,7693,21261.0,4.553909465020576,1.2037037037037037,3.1658436213991767,8.749382716049382,2023,4.553909465020576
2023,NL,2430,11366,2943,8126,20582.0,4.677366255144033,1.211111111111111,3.3440329218106997,8.469958847736626,2023,4.677366255144033
2024,AL,2428,10378,2714,7380,20503.0,4.274299835255354,1.1177924217462933,3.039538714991763,8.444398682042834,2024,4.274299835255354
2024,NL,2430,10965,2739,7549,20694.0,4.512345679012346,1.1271604938271604,3.106584362139918,8.51604938271605,2024,4.512345679012346
